Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0317826974693588,2.52147140137882E-05,0.0117881861714087,0,0,0,0.176881837293305,0.000162393145423334,3.43136691338957E-10,-6.44066105389166E-08,0.000432640777283136,-7.9449193758583E-08,0.000579739365677316,0,0,0,0,0,0,package://manipulator_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/base_link.STL,,base_link-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_joint_1,0.0202002190219897,0.0103492460411576,0.0792948712548255,0,0,0,0.0387771625478187,5.76087655921681E-06,9.89204380549824E-07,-2.95038866262396E-08,7.27827839796863E-06,-5.60402371142119E-08,1.07033727457369E-05,0,0,0,0,0,0,package://manipulator_urdf/meshes/link_joint_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/link_joint_1.STL,,link_01-1,Coordinate System1,Axis1,joint_name_1,revolute,0,0,0,0,0,0,base_link,0,0,1,30,30,0,0,,,,,,,,
link_joint_2,0.073870376469461,-0.0133408775129932,0.112059883518006,0,0,0,0.0289030129094584,1.74382494346278E-05,-2.17688831008388E-06,-4.14340217795555E-06,1.45254254101949E-05,2.2131206061392E-06,2.33751125932252E-05,0,0,0,0,0,0,package://manipulator_urdf/meshes/link_joint_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/link_joint_2.STL,,link_02-1,Coordinate System1,Axis2,joint_name_2,revolute,0,0,0,0,0,0,base_link,0.47114,0.88206,0,30,30,0,0,,,,,,,,
link_joint_3,0.0832005956849828,-0.0119304143230756,0.175233669309219,0,0,0,0.0968620842796283,2.88548564017477E-05,1.05450918558511E-06,8.9938873879952E-06,3.00629779780838E-05,-4.66307872727807E-06,2.684147960351E-05,0,0,0,0,0,0,package://manipulator_urdf/meshes/link_joint_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://manipulator_urdf/meshes/link_joint_3.STL,,link_03-1,Coordinate System1,Axis3,joint_name_3,revolute,0,0,0,0,0,0,base_link,0.47114,0.88206,0,30,30,0,0,,,,,,,,
